2023,㈜한마음에너지,강원,408-81-54131,이대영,강원 원주시 흥업면 매지회촌길 64,37.2572671,127.9082646,시공사(외감),8.7,23,
2023,양준모,강원,,양준모,,37.5145741,127.1027673,,6.3,6,
2023,㈜피브이에너지,강원,549-88-00522 ,김봉가,경기도 용인시 수지구 신수로767, 에이동 1313호,37.3382141,127.1016827,,5.8,6,
2023,㈜천수,강원,784-86-00586,김태식,경기 부천시 신흥로 150, 701동 1902호,37.4977415,126.7782032,접속반, 모니터링 제조사,5.0,5,
2023,㈜에스디전기,강원,661-87-01431,홍진현,경기 화성시 동탄역로 124, 705호,37.1975789,127.0965779,시공사,4.5,3,
2023,파워포인트㈜,강원,290-81-31114,이옥희, 최귀동,경기 포천시 내촌면 금강로 2820번길 29,37.817214,127.2608639,,4.1,9,
2023,㈜현대에코쏠라,강원,134-87-16242,나성환,경기 안산시 상록구 해안로 705, 501호,502호,503호,37.2908631,126.8298973,,3.7,7,
2023,(유)광명테크,강원,276-88-00401,안정환,전북 전주시 덕진구 백제대로 555, 501호,35.8404262,127.1304524,,3.4,4,
2023,㈜세진엔지니어링,강원,412-81-23898,박찬갑,광주 서구 유덕로 50,35.1664384,126.8491602,시공사,3.1,1,
2023,㈜제이앤피엔지니어링,강원,652-87-00684,정민철,대전 유성구 덕명로71번길 16,36.3581376,127.3068502,시공사(외감),2.9,4,
2023,㈜해와람,강원,246-86-01666,박평남 ,인천 서구 파랑로 495, 2동 802호,37.524363,126.6505601,전동기 및 발전기 제조업,2.8,3,
2023,㈜대동솔라,강원,829-88-00700,한명희,대전 중구 대종로 523,36.3301793,127.4235705,일반전기 공사업,2.6,4,
2023,㈜진양에스엔지,강원,410-86-23034,채성열,광주 광산구 평동산단2번로 132,35.1329712,126.7640516,시공사,2.6,1,
2023,㈜이에스에너지,강원,358-88-01250,박진덕,강원 태백시 버들치길 4, 2층 1호,37.1400071,128.9784361,,2.1,3,
2023,㈜넥스트솔라에너지,강원,433-86-00183,강제원,경기 화성시 동탄기흥로 560, 701호,37.2111791,127.0941447,,1.8,3,
2023,㈜에스더블류에너지,강원, -  ,박창언,경기 화성시 동탄대로21길 10, 15층 1512-35호,37.20789680000001,127.0977818,,1.4,2,
